zipcode,city_id
00501,36129
00544,36129
01001,120086
01002,120089
01002,120178
01002,120450
01003,120089
01004,120089
01005,120110
01007,120114
01008,120125
01009,120127
01010,120138
01010,120200
01011,120163
01012,120164
01013,120166
01013,120663
01014,120166
01020,120166
01021,120166
01022,120166
01022,120648
01026,120177
01026,120617
01027,120225
01027,120376
01027,120645
01028,120210
01029,120214
01030,120235
01031,120249
01031,120439
01032,120253
01032,120324
01033,120255
01034,120257
01034,120572
01034,120620
01035,120266
01036,120269
01037,120274
01038,120280
01038,120623
01039,120284
01039,120641
01040,120292
01041,120292
01050,120300
01050,120405
01053,120315
01054,120320
01054,120414
01056,120327
01057,120370
01059,120089
01059,120397
01060,120238
01060,120428
01061,120428
01062,120112
01062,120238
01062,120428
01063,120428
01066,120413
01068,120437
01069,120448
01070,120458
01071,120486
01072,120509
01073,120544
01074,120516
01075,120527
01075,120528
01077,120548
01079,120569
01080,120570
01081,120587
01082,120591
01083,120593
01084,120614
01085,120373
01085,120643
01086,120643
01088,120623
01089,35827
01090,35827
01092,120593
01092,120640
01093,120653
01094,120654
01095,120658
01096,120660
01097,120674
01098,120675
01101,25441
01102,25441
01103,25441
01104,25441
01105,25441
01106,25441
01106,120326
01107,25441
01108,25441
01109,25441
01111,25441
01114,25441
01114,120574
01115,25441
01115,120574
01116,120210
01116,120326
01118,25441
01119,25441
01128,25441
01129,25441
01133,25441
01138,25441
01139,25441
01144,25441
01151,25441
01151,120302
01152,25441
01195,25441
01199,25441
01201,120457
01202,120457
01203,120457
01220,120085
01222,120097
01223,120113
01223,120163
01223,120314
01223,120444
01223,120595
01224,120118
01224,120311
01225,120162
01226,120180
01227,120180
01229,120251
01230,120087
01230,120227
01230,120258
01230,120384
01230,120475
01235,120287
01235,120453
01236,120295
01236,120662
01237,120270
01237,120311
01237,120312
01237,120381
01238,120209
01238,120314
01238,120608
01240,120317
01242,120318
01243,120356
01244,120358
01245,120372
01245,120631
01247,120168
01247,120239
01247,120396
01252,120410
01252,120525
01253,120417
01253,120444
01254,120474
01255,120493
01255,120537
01256,120496
01257,120501
01258,120377
01258,120525
01259,120547
01260,120532
01262,120554
01263,120554
01264,120314
01264,120580
01266,120087
01266,120303
01266,120635
01267,120661
01270,120668
01301,120261
01301,120321
01302,120261
01330,120095
01330,120514
01331,120100
01331,120385
01331,120455
01331,120485
01331,120536
01337,120120
01337,120321
01338,120144
01339,120154
01339,120283
01339,120624
01340,120172
01340,120262
01340,120331
01340,120500
01341,120174
01342,120182
01343,120192
01344,120229
01346,120154
01346,120285
01347,120308
01349,120360
01349,120578
01350,120368
01350,120369
01351,120371
01354,120250
01354,120375
01354,120375
01354,120431
01354,120431
01355,120385
01355,120441
01360,120431
01364,120385
01364,120416
01364,120441
01364,120594
01366,120454
01367,120481
01368,120100
01368,120485
01368,120536
01369,120500
01370,120203
01370,120502
01370,120503
01373,120522
01373,120653
01375,120561
01376,120250
01376,120476
01376,120578
01378,120441
01378,120594
01379,120603
01380,120604
01420,120237
01430,120093
01431,120094
01432,120106
01432,120185
01432,120242
01434,120106
01436,120108
01436,120446
01438,120219
01440,120246
01441,120246
01441,120646
01441,120646
01450,120263
01451,120275
01452,120296
01453,120319
01460,120325
01462,120328
01463,120215
01463,120452
01464,120506
01464,120507
01467,120553
01468,120567
01469,120575
01470,120263
01471,120263
01472,120621
01473,120646
01474,120575
01474,120637
01475,120665
01477,120666
01501,120103
01503,120119
01504,120124
01505,120132
01506,120140
01507,120156
01508,120157
01509,120158
01510,120169
